ID,Statiune,Judet,activitate_principala_plaja,activitate_principala_partie,activitate_principala_trasee,activitate_principala_tratament,Info,Alimentatie,Cultura,sezon_rece,sezon_cald,sezon_tot,rating,helpfulVotes,Staff,Facilities,Cleanliness,Comfort,Value for money,Location,totalReviews,TravelerType,numberOfNights,buget_ridicat,buget_scazut,travelerType_Couple,travelerType_Solo traveler,travelerType_Family,travelerType_Group,Regiune,Regiune_istorica,Latitude,Longitude
1,Amara,Ialomita,0,0,0,1,1,1,0,0,1,0,7.7,0.27,8.66,8.37,8.59,8.57,8.28,8.73,8355,Family,6,0,1,0,0,1,0, SUD-MUNTENIA,Muntenia,44.6173543,27.314991
2,Azuga,Prahova,0,1,0,0,1,1,0,0,0,1,8.79,0.27,9.24,8.87,9.3,9.15,8.97,9.1,44901,Family,5,0,1,0,0,1,0, SUD-MUNTENIA,Muntenia,45.4444432,25.5693383
3,Busteni,Prahova,0,1,0,0,0,1,1,0,0,1,8.52,0.14,9.11,8.66,8.95,8.81,8.71,8.99,131371,Family,6,1,0,0,0,1,0, SUD-MUNTENIA,Muntenia,45.4147706,25.5354853
4,Buzias,Timis,0,0,0,1,0,1,0,0,0,1,8.33,0.27,9.19,8.66,9.27,9.2,8.67,9.08,939,Couple,2,0,1,1,0,0,0, VEST,Banat,45.64921,21.6042462
5,Baile Govora,Valcea,0,0,0,1,0,1,1,0,0,1,9.19,0.28,9.38,9.03,9.35,9.36,8.8,9.25,32706,Family,7,0,1,0,0,1,0, SUD-VEST OLTENIA,Oltenia,45.079229,24.1840221
6,Baile Felix,Bihor,0,0,0,1,0,0,0,0,0,1,8.84,0.22,9.25,8.76,9.07,8.98,8.71,9.1,136814,Couple,7,1,0,1,0,0,0, NORD-VEST,Crisana,46.9896227,21.9812623
7,Baile Herculane,Caras Severin,0,0,0,1,0,1,1,0,0,1,8.58,0.29,9.23,8.61,8.96,8.88,8.57,8.91,82793,Couple,7,0,1,1,0,0,0, VEST,Banat,44.8785058,22.4143883
8,Baile Olanesti,Valcea,0,0,0,1,0,1,0,0,1,0,8.73,0.25,9.17,8.68,9.06,8.87,8.67,9.07,35839,Couple,7,0,1,1,0,0,0, SUD-VEST OLTENIA,Oltenia,45.2050901,24.2419916
9,Baile Tusnad,Harghita,0,0,0,1,0,1,1,0,0,1,8.27,0.37,9.04,8.37,8.81,8.73,8.46,8.95,73455,Couple,6,0,1,1,0,0,0, CENTRU,Transilvania,46.1440473,25.8587996
10,Borsec,Harghita,0,0,0,1,1,1,0,0,0,1,8.99,0.8,9.42,8.97,9.28,9.14,8.94,9.33,16144,Couple,4,0,1,1,0,0,0, CENTRU,Transilvania,46.9639588,25.5609031
11,Borsa,Maramures,0,1,0,0,1,1,0,1,0,0,9.27,0.14,9.59,9.27,9.48,9.43,9.41,9.46,32350,Couple,7,0,1,1,0,0,0, NORD-VEST,Maramures,47.6554079,24.6639308
12,Campulung Moldovenesc,Suceava,0,0,1,0,1,1,1,0,0,1,8.96,0.32,9.33,9.03,9.23,9.26,8.78,9.14,27640,Couple,4,0,1,1,0,0,0, NORD-EST,Bucovina,47.5297764,25.5597482
